datetime,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,temp,feelslike,humidity,precip,preciptype,snow,snowdepth,windspeed,cloudcover,visibility,conditions,icon
2021-11-03,2.0,0.0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Sedan,Sedan,49.5,47.8,56.7,0.0,none,0.0,0.0,11.1,11.2,9.8,Clear,clear-day
2021-11-04,1.0,0.0,1,0,0,0,0,0,Turning Improperly,None,Station Wagon/Sport Utility Vehicle,None,49.3,47.5,51.8,0.0,none,0.0,0.0,8.9,4.3,9.9,Clear,clear-day
2021-11-05,4.0,0.0,0,0,0,0,4,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Bus,Sedan,49.9,48.8,53.3,0.0,none,0.0,0.0,12.5,0.3,9.9,Clear,clear-day
2021-11-06,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,None,Taxi,None,51.1,49.5,53.5,0.0,none,0.0,0.0,8.9,0.4,9.9,Clear,clear-day
2021-11-07,3.0,0.0,0,0,0,0,3,0,Other Vehicular,Lost Consciousness,Sedan,Sedan,52.1,51.6,53.4,0.009,rain,0.0,0.0,14.1,1.2,9.9,Rain,rain
2021-11-08,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,None,58.0,58.0,53.0,0.0,none,0.0,0.0,6.0,0.4,9.9,Clear,clear-day
2021-11-09,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Station Wagon/Sport Utility Vehicle,None,60.0,60.0,61.8,0.0,none,0.0,0.0,8.9,0.2,9.8,Clear,clear-day
2021-11-10,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Bike,Station Wagon/Sport Utility Vehicle,60.7,60.7,53.1,0.018,rain,0.0,0.0,12.5,11.6,9.9,Rain,rain
2021-11-11,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Sedan,56.3,56.0,62.4,0.0,none,0.0,0.0,12.4,43.1,9.8,Partially cloudy,partly-cloudy-day
2021-11-12,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Station Wagon/Sport Utility Vehicle,None,61.5,61.5,75.5,0.26,rain,0.0,0.0,16.1,60.1,9.5,"Rain, Partially cloudy",rain
2021-11-13,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Van,None,52.1,50.1,64.7,0.303,rain,0.0,0.0,19.9,20.2,9.8,"Rain, Partially cloudy",rain
2021-11-14,0.0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,43.8,40.3,60.9,0.015,rain,0.0,0.0,17.2,38.7,9.8,"Rain, Partially cloudy",rain
2021-11-15,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Sedan,Convertible,43.8,39.6,65.7,0.003,rain,0.0,0.0,15.2,58.1,9.9,"Rain, Partially cloudy",rain
2021-11-16,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,Sedan,Bike,43.3,39.2,51.7,0.0,none,0.0,0.0,11.4,17.9,9.9,Clear,clear-day
2021-11-17,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,PK,Station Wagon/Sport Utility Vehicle,49.5,49.3,60.6,0.0,none,0.0,0.0,16.1,35.8,9.9,Partially cloudy,partly-cloudy-day
2021-11-18,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,None,Sedan,None,59.9,59.7,65.9,0.051,rain,0.0,0.0,10.4,31.1,9.5,"Rain, Partially cloudy",rain
2021-11-19,1.0,0.0,0,0,0,0,1,0,Unsafe Lane Changing,Unsafe Speed,Sedan,Sedan,44.6,39.3,50.9,0.037,rain,0.0,0.0,16.6,40.3,9.8,"Rain, Partially cloudy",rain
2021-11-20,1.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,E-Scooter,42.4,39.9,53.8,0.0,none,0.0,0.0,10.3,19.2,9.9,Clear,clear-day
2021-11-21,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Sedan,None,50.2,49.4,62.2,0.009,rain,0.0,0.0,7.8,73.4,9.9,"Rain, Partially cloudy",rain
2021-11-22,0.0,0.0,0,0,0,0,0,0,Brakes Defective,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,47.6,44.8,64.5,0.043,rain,0.0,0.0,12.4,56.0,9.6,"Rain, Partially cloudy",rain
